race,cohort,sex,edu,model,b,L,U
,1930,2,0,1,1.6857,1.347193,2.024206
,1930,2,1,1,2.288356,1.448235,3.128476
,1930,2,2,1,2.026974,1.474309,2.579639
,1930,2,3,1,1.596134,1.258868,1.9334
,1930,2,4,1,1.922923,1.556398,2.289448
,1930,2,5,1,1.560717,1.214421,1.907012
,1930,2,6,1,1.408311,1.122571,1.694052
,1930,2,7,1,1.232557,0.951195,1.51392
,1930,2,8,1,0.8493729,0.6785768,1.020169
,1930,2,9,1,0.7114919,0.47961,0.9433739
,1930,2,10,1,0.4864779,0.2849262,0.6880297
,1930,2,11,1,0.4641919,0.2384448,0.689939
,1930,2,12,1,0,0,0
,1930,2,13,1,-0.4174517,-0.6646107,-0.1702928
,1930,2,14,1,-0.303105,-0.5158762,-0.0903338
,1930,2,15,1,-0.1285688,-0.4398086,0.182671
,1930,2,16,1,-0.4154884,-0.6631452,-0.1678315
,1930,2,17,1,-0.5126344,-0.7870877,-0.2381811
,1950,2,0,1,2.142827,1.623375,2.662279
,1950,2,1,1,2.530179,1.819206,3.241151
,1950,2,2,1,2.110121,1.400409,2.819834
,1950,2,3,1,1.604263,1.12042,2.088106
,1950,2,4,1,1.955883,1.498681,2.413085
,1950,2,5,1,1.786317,1.327336,2.245298
,1950,2,6,1,1.35073,0.9773766,1.724083
,1950,2,7,1,1.596323,1.242494,1.950153
,1950,2,8,1,1.402142,1.149083,1.655201
,1950,2,9,1,1.026609,0.753075,1.300143
,1950,2,10,1,0.8991279,0.6709623,1.127294
,1950,2,11,1,0.2909414,0.0220931,0.5597897
,1950,2,12,1,0,0,0
,1950,2,13,1,-0.486927,-0.834671,-0.139183
,1950,2,14,1,-0.1139274,-0.4080373,0.1801825
,1950,2,15,1,-0.4659031,-0.9811992,0.049393
,1950,2,16,1,-0.6361472,-0.9702273,-0.302067
,1950,2,17,1,-0.8599642,-1.247485,-0.4724431
